X,Y,Z,Class
656122.89999962,4772291.59999847,161.27000427,2
656123.95999908,4772291.12999725,162.36000061,2
656123.18000031,4772291.22000122,162.78999329,2
656122.60000038,4772291.26000214,161.74000549,2
656121.98999977,4772291.30999756,160.83000183,2
656119.70000076,4772290.66000366,161.46000671,2
656120.36000061,4772290.58999634,161.94000244,2
656120.84000015,4772290.58999634,163.91999817,2
656121.60000038,4772290.50000000,163.63000488,2
656122.25000000,4772290.43000031,164.14999390,2
656123.10000038,4772290.30999756,163.16999817,2
656123.88999939,4772290.20999908,162.66000366,2
656124.62000084,4772290.12000275,162.52000427,2
656124.13999939,4772289.75000000,162.55999756,2
656123.20000076,4772289.90000153,164.27999878,2
656122.45000076,4772289.98999786,164.52999878,2
656121.80999947,4772290.05000305,163.85000610,2
656121.06999969,4772290.12999725,163.97000122,2
656120.48999977,4772290.16999817,162.96000671,2
656119.93000031,4772290.19999695,161.60000610,2
656119.18000031,4772290.29000092,161.77000427,2
656113.19999981,4772290.00000000,160.30999756,2
656113.88000011,4772289.94000244,160.69000244,2
656118.79999924,4772289.38999939,161.49000549,2
656119.44000053,4772289.33999634,162.11999512,2
656120.02000046,4772289.30000305,163.33000183,2
656120.61000061,4772289.26000214,164.41000366,2
656121.27000046,4772289.19999695,164.86999512,2
656121.94000053,4772289.12999725,165.24000549,2
656122.63999939,4772289.05999756,165.39999390,2
656123.40999985,4772288.95999908,164.91999817,2
656124.39999962,4772288.79000092,162.80999756,2
656125.12000084,4772288.70999908,162.85000610,2
656125.04999924,4772288.36000061,162.97999573,2
656124.06999969,4772288.51999664,165.03999329,2
656123.37999916,4772288.58999634,164.92999268,2
656122.59000015,4772288.69999695,165.47999573,2
656121.86000061,4772288.77999878,165.57000732,2
656121.14999962,4772288.84999847,165.41999817,2
656120.50000000,4772288.91999817,164.94000244,2
656119.95999908,4772288.94000244,163.42999268,2
656119.37999916,4772288.97000122,162.25000000,2
656118.77000046,4772289.01999664,161.41999817,2
656114.47999954,4772289.48999786,161.07000732,2
656113.77000046,4772289.56999969,160.99000549,2
656113.00000000,4772289.66999817,161.41999817,2
656112.42000008,4772289.69999695,160.16999817,2
656106.90000010,4772290.43000031,164.61999512,2
656106.09000015,4772290.54000092,165.41999817,2
656105.42000008,4772289.66000366,163.72000122,2
656106.07000017,4772289.61000061,164.41000366,2
656106.73000002,4772289.54000092,164.91999817,2
656107.53999996,4772289.43000031,164.07000732,2
656108.21000004,4772289.36000061,164.46000671,2
656109.02000046,4772289.25000000,163.63000488,2
656109.68000031,4772289.19000244,164.16999817,2
656112.81000042,4772288.76999664,161.80999756,2
656113.52999973,4772288.69000244,161.72000122,2
656114.22999954,4772288.61000061,161.94000244,2
656114.97999954,4772288.51999664,161.66000366,2
656115.81000042,4772288.40000153,160.66999817,2
656116.52000046,4772288.31999969,160.83000183,2
656118.55999947,4772288.11000061,161.82000732,2
656119.25000000,4772288.04000092,162.08000183,2
656119.90999985,4772287.98000336,162.53999329,2
656120.44000053,4772287.95999908,164.16000366,2
656121.01000023,4772287.91999817,165.38999939,2
656121.61000061,4772287.87999725,166.25000000,2
656122.37000084,4772287.77999878,166.02000427,2
656123.17000008,4772287.66999817,165.33999634,2
656123.95999908,4772287.56999969,164.75999451,2
656124.86000061,4772287.43000031,163.44000244,2
656125.63999939,4772287.33000183,162.92999268,2
656125.32999992,4772286.97000122,162.30999756,2
656124.30999947,4772287.15000153,164.77000427,2
656123.55999947,4772287.23999786,164.97999573,2
656122.79000092,4772287.33999634,165.44999695,2
656122.03000069,4772287.43000031,165.77000427,2
656121.34000015,4772287.51000214,165.64999390,2
656120.69000053,4772287.55999756,165.02000427,2
656120.28000069,4772287.55000305,162.55999756,2
656119.51000023,4772287.63999939,162.88000488,2
656119.02000046,4772287.65000153,161.05000305,2
656116.01000023,4772288.01999664,162.22000122,2
656115.30000019,4772288.09999847,162.08000183,2
656114.60999966,4772288.16999817,161.88999939,2
656113.72999954,4772288.30000305,163.19999695,2
656113.17000008,4772288.33000183,161.88999939,2
656112.52000046,4772288.38999939,161.25000000,2
656111.77999973,4772288.48000336,161.42999268,2
656110.61999989,4772288.69999695,165.25000000,2
656109.82999992,4772288.80999756,165.94000244,2
656108.53999996,4772288.91999817,164.58999634,2
656107.76999998,4772289.01999664,165.08000183,2
656106.94000006,4772289.13999939,166.16000366,2
656106.34000015,4772289.18000031,165.11999512,2
656105.71000004,4772289.23000336,164.33000183,2
656105.07000017,4772289.27999878,163.49000549,2
656105.17000008,4772288.41000366,164.36000061,2
656105.84000015,4772288.33999634,164.69999695,2
656106.46000004,4772288.29000092,165.46000671,2
656107.05999994,4772288.23999786,166.55000305,2
656107.82000017,4772288.15000153,166.13999939,2
656108.71000004,4772288.00000000,164.53999329,2
656109.30000019,4772287.97000122,165.72000122,2
656109.86999989,4772287.93000031,167.02999878,2
656110.65999985,4772287.81999969,166.30999756,2
656110.93999958,4772287.73000336,163.89999390,2
656112.64000034,4772287.48000336,161.52999878,2
656113.34000015,4772287.40000153,161.69999695,2
656113.89000034,4772287.37999725,163.17999268,2
656114.68000031,4772287.26999664,162.58000183,2
656115.48999977,4772287.16000366,161.74000549,2
656116.19000053,4772287.08000183,161.83999634,2
656119.29000092,4772286.68000031,160.03999329,2
656119.71999931,4772286.69000244,162.38999939,2
656120.18000031,4772286.69000244,164.53999329,2
656120.82999992,4772286.62999725,165.16999817,2
656121.51000023,4772286.55999756,165.36999512,2
656122.18000031,4772286.48999786,165.78999329,2
656122.98999977,4772286.37999725,165.16000366,2
656123.79000092,4772286.26999664,164.47000122,2
656124.53000069,4772286.18000031,164.25000000,2
656124.76000023,4772285.72000122,163.24000549,2
656124.04999924,4772285.80000305,163.10000610,2
656123.11000061,4772285.94999695,164.89999390,2
656122.27000046,4772286.06999969,165.85000610,2
656121.61000061,4772286.12999725,165.39999390,2
656120.98999977,4772286.18000031,164.55000305,2
656120.26000023,4772286.26999664,164.72999573,2
656116.38999939,4772286.61000061,160.97999573,2
656115.56999969,4772286.72000122,161.80999756,2
656114.69999981,4772286.84999847,163.08000183,2
656113.88000011,4772286.95999908,163.88999939,2
656113.21000004,4772287.02999878,163.47999573,2
656112.77000046,4772287.01999664,161.10000610,2
656112.09000015,4772287.08000183,160.67999268,2
656110.76000023,4772287.37000275,166.00000000,2
656109.94999981,4772287.48000336,166.92999268,2
656108.76000023,4772287.55999756,164.72000122,2
656107.96000004,4772287.66999817,165.55999756,2
656107.17000008,4772287.77999878,166.10000610,2
656106.61000013,4772287.80999756,164.75999451,2
656105.75000000,4772287.94000244,166.08999634,2
656104.51999998,4772288.02999878,164.27000427,2
656087.93000031,4772288.95999908,162.38999939,2
656088.72999954,4772288.84999847,161.58000183,2
656089.39999962,4772288.77999878,161.96000671,2
656093.92999983,4772288.37999725,166.88000488,2
656096.01999998,4772288.16999817,167.42999268,2
656096.70000005,4772288.09999847,167.69000244,2
656099.76000001,4772287.69000244,165.61000061,2
656104.23000002,4772287.13999939,164.10000610,2
656104.92000008,4772287.06999969,164.30000305,2
656105.40999985,4772287.05999756,166.32000732,2
656106.07999992,4772286.98999786,166.69999695,2
656106.82999992,4772286.90000153,166.36000061,2
656107.57999992,4772286.80999756,166.16000366,2
656108.47999954,4772286.66000366,164.50000000,2
656108.81000042,4772286.70999908,167.94999695,2
656109.57999992,4772286.61000061,167.42999268,2
656110.32999992,4772286.51999664,167.16999817,2
656112.48999977,4772286.11000061,160.75000000,2
656113.64999962,4772286.04000092,163.08999634,2
656114.98999977,4772285.90000153,163.89999390,2
656115.93999958,4772285.73999786,161.96000671,2
656116.75000000,4772285.62999725,161.21000671,2
656117.36000061,4772285.58000183,162.08000183,2
656120.01000023,4772285.33000183,163.96000671,2
656120.75000000,4772285.23999786,163.86000061,2
656121.44000053,4772285.16999817,164.13999939,2
656122.10000038,4772285.11000061,164.61999512,2
656122.87000084,4772285.01000214,164.17999268,2
656123.67000008,4772284.90000153,163.60000610,2
656123.43000031,4772284.55000305,163.94999695,2
656122.67000008,4772284.65000153,164.33000183,2
656121.92000008,4772284.73999786,164.58000183,2
656121.31999969,4772284.77999878,163.61000061,2
656120.59000015,4772284.87000275,163.66999817,2
656119.77000046,4772284.98000336,164.58999634,2
656118.00000000,4772285.09999847,161.33999634,2
656117.23999977,4772285.19000244,161.74000549,2
656116.52000046,4772285.27999878,161.75999451,2
656115.77999973,4772285.36000061,161.92999268,2
656115.13000011,4772285.41999817,161.27999878,2
656114.57999992,4772285.44999695,159.88000488,2
656113.46000004,4772285.66000366,163.33000183,2
656113.02000046,4772285.65000153,160.91999817,2
656112.25000000,4772285.75000000,161.33000183,2
656110.43000031,4772286.04000092,164.72000122,2
656109.43000031,4772286.22000122,167.30000305,2
656108.60000038,4772286.33999634,168.27000427,2
656108.89999962,4772286.23999786,165.61999512,2
656108.27999973,4772286.27999878,164.71000671,2
656107.32000017,4772286.44999695,166.91999817,2
656106.88000011,4772286.44000244,164.50000000,2
656106.03000021,4772286.55999756,165.66000366,2
656105.26999998,4772286.66000366,166.07000732,2
656104.76999998,4772286.66999817,164.13999939,2
656101.65999997,4772287.06999969,166.38999939,2
656100.38999999,4772287.16999817,164.72000122,2
656096.52999997,4772287.68000031,167.57000732,2
656095.80000019,4772287.76000214,167.69999695,2
656095.21999979,4772287.80000305,166.36999512,2
656093.73000002,4772287.98000336,167.07000732,2
656092.96000004,4772288.08000183,167.58999634,2
656089.94999981,4772288.26999664,161.77000427,2
656089.21000004,4772288.36000061,162.07000732,2
656088.48999977,4772288.44000244,162.11999512,2
656087.77000046,4772288.51999664,162.11999512,2
656087.01000023,4772287.73999786,161.50999451,2
656087.60999966,4772287.69999695,162.67999268,2
656088.31999969,4772287.62000275,162.72000122,2
656089.13000011,4772287.51000214,161.83000183,2
656089.85999966,4772287.41999817,161.63999939,2
656092.88999987,4772287.22000122,167.35000610,2
656093.59000015,4772287.13999939,167.47000122,2
656094.28999996,4772287.06999969,167.53999329,2
656095.05000019,4772286.97000122,166.99000549,2
656095.69999981,4772286.91000366,167.66999817,2
656096.42000008,4772286.81999969,167.55000305,2
656097.11999989,4772286.75000000,167.77000427,2
656097.89000010,4772286.65000153,167.25000000,2
656098.63000000,4772286.55000305,166.86999512,2
656100.28999999,4772286.30000305,164.61999512,2
656101.50000000,4772286.22000122,166.75000000,2
656104.63999987,4772285.79000092,164.10000610,2
656105.30000019,4772285.73000336,164.61999512,2
656106.00000000,4772285.65000153,164.83999634,2
656106.73000002,4772285.55999756,164.63000488,2
656108.10999966,4772285.41999817,165.05000305,2
656108.81999969,4772285.33999634,165.13999939,2
656109.51000023,4772285.26000214,165.38999939,2
656110.15999985,4772285.19999695,166.00999451,2
656111.72999954,4772284.98999786,164.71000671,2
656112.43999958,4772284.91000366,164.82000732,2
656113.17000008,4772284.83000183,164.72999573,2
656113.86999989,4772284.75000000,164.77000427,2
656114.60000038,4772284.66000366,164.80000305,2
656115.72000027,4772284.44999695,161.41999817,2
656116.30999947,4772284.41000366,162.47000122,2
656116.79999924,4772284.40000153,164.35000610,2
656117.52000046,4772284.30999756,164.30999756,2
656120.53000069,4772283.94000244,163.32000732,2
656121.40999985,4772283.80999756,162.05999756,2
656122.02000046,4772283.76000214,162.91000366,2
656122.79999924,4772283.66000366,162.47000122,2
656121.71999931,4772283.37999725,162.07000732,2
656117.11000061,4772283.95999908,164.44000244,2
656117.44000053,4772283.84999847,161.74000549,2
656116.55999947,4772283.98999786,163.07000732,2
656115.86999989,4772284.05999756,162.86000061,2
656114.88000011,4772284.23000336,165.16999817,2
656115.34000015,4772284.08000183,161.22999573,2
656114.18999958,4772284.30000305,164.97999573,2
656113.48999977,4772284.37999725,164.78999329,2
656112.75000000,4772284.47000122,164.97999573,2
656112.06999969,4772284.54000092,164.69999695,2
656111.34000015,4772284.62999725,164.88000488,2
656109.81000042,4772284.81999969,165.58999634,2
656109.11999989,4772284.88999939,165.39999390,2
656108.42000008,4772284.97000122,165.30999756,2
656107.48999977,4772284.95999908,160.77000427,2
656106.28999996,4772285.19999695,165.14999390,2
656105.59999990,4772285.27999878,164.88999939,2
656102.51999998,4772285.68000031,166.94999695,2
656101.03999996,4772285.84999847,167.21000671,2
656100.34999999,4772285.91999817,167.03999329,2
656099.63999999,4772286.00000000,167.03999329,2
656098.87000000,4772286.11000061,167.57000732,2
656098.17999995,4772286.18000031,167.36000061,2
656097.36999989,4772286.29000092,168.25999451,2
656096.66000009,4772286.37999725,168.32000732,2
656096.00999999,4772286.43000031,167.69999695,2
656095.28000021,4772286.51000214,167.91000366,2
656094.53000021,4772286.61000061,168.17999268,2
656093.86999989,4772286.66000366,167.57000732,2
656093.19000006,4772286.73000336,167.27999878,2
656089.43000031,4772287.01999664,161.75999451,2
656088.65999985,4772287.12000275,162.47000122,2
656072.78000069,4772288.97000122,164.36000061,2
656072.37000084,4772288.19000244,164.72000122,2
656073.11000061,4772288.08999634,164.36000061,2
656073.79000092,4772288.01999664,164.61999512,2
656074.50000000,4772287.93000031,164.50999451,2
656075.15999985,4772287.87999725,165.19999695,2
656075.84000015,4772287.80999756,165.49000549,2
656077.45999908,4772287.55999756,163.14999390,2
656086.93999958,4772286.41000366,161.03999329,2
656087.59000015,4772286.36000061,161.80999756,2
656088.35000038,4772286.26000214,161.32000732,2
656089.06999969,4772286.18000031,161.27000427,2
656092.80999994,4772285.88999939,167.00999451,2
656093.44999981,4772285.83999634,167.74000549,2
656094.17999983,4772285.76000214,167.53999329,2
656094.86999989,4772285.68000031,167.72000122,2
656095.61999989,4772285.58999634,167.33999634,2
656096.22000003,4772285.55000305,168.44000244,2
656096.97000003,4772285.26000214,160.96000671,2
656097.67000008,4772285.37000275,168.13999939,2
656098.36000001,4772285.30000305,168.36999512,2
656099.08999997,4772285.20999908,168.17999268,2
656100.05000000,4772285.04000092,165.83000183,2
656100.68000001,4772284.98999786,166.69000244,2
656101.38999999,4772284.91000366,166.75999451,2
656102.10999990,4772284.81999969,166.60000610,2
656102.93000007,4772284.69999695,165.67999268,2
656104.48000002,4772284.50000000,164.58000183,2
656105.90999985,4772284.33000183,164.63000488,2
656106.36999989,4772284.18000031,160.44000244,2
656106.61000013,4772284.26000214,164.80000305,2
656107.32000017,4772284.18000031,164.88000488,2
656108.02000046,4772284.09999847,164.96000671,2
656108.72999954,4772284.01999664,165.05999756,2
656109.40999985,4772283.94999695,165.32000732,2
656110.14000034,4772283.86000061,165.14999390,2
656110.77999973,4772283.80000305,165.83000183,2
656111.57999992,4772283.69999695,165.13999939,2
656112.30000019,4772283.61000061,165.08999634,2
656113.00000000,4772283.54000092,165.28999329,2
656113.71000004,4772283.44999695,165.28999329,2
656114.43999958,4772283.37000275,165.13000488,2
656115.43999958,4772283.19000244,162.78999329,2
656116.06999969,4772283.13999939,163.53999329,2
656116.95000076,4772283.00000000,162.13000488,2
656116.97999954,4772282.55000305,161.82000732,2
656116.04999924,4772282.69999695,163.55000305,2
656115.05000019,4772282.87000275,165.88000488,2
656114.38000011,4772282.94000244,165.49000549,2
656113.68000031,4772283.01999664,165.47000122,2
656112.97000027,4772283.09999847,165.35000610,2
656112.25000000,4772283.18000031,165.33000183,2
